STATION,NAME,DATE,CDSD,EMNT,EMXT,HDSD,TAVG,TMAX,TMIN
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2012-01,0,17,68,1981,40.7,49.3,32.2
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2012-02,0,23,72,2580,44.3,52.4,36.3
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2012-03,21,29,83,2857,56.7,66.3,47.2
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2012-04,47,40,89,3085,58.3,68.1,48.5
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2012-05,249,52,91,3089,71.4,80.1,62.7
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2012-06,588,58,104,3090,76.3,85.9,66.6
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2012-07,1176,67,105,0,84,93.1,74.9
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2012-08,1671,66,98,0,81,89.5,72.4
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2012-09,1894,53,95,6,72.2,80.7,63.7
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2012-10,1936,41,84,173,61,68.9,53
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2012-11,1936,31,72,726,46.6,54.9,38.3
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2012-12,1936,29,72,1335,45.4,52.3,38.4
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2013-01,0,15,72,2101,40.3,47.4,33.1
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2013-02,0,18,60,2848,38.3,45.1,31.6
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2013-03,0,28,63,3504,43.8,51.5,36.1
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2013-04,39,31,91,3727,58.9,68.9,48.9
