STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,2010-01,10.1,",W",0,0,0,",0",8,",0",4,",0",2,",0",2,",0",0,",0",23,",0",6,",0",0,",0",0,",0",16,",0,31,+",6,",,0,31,",6.4,",,0,30,",0.68,",,0,17,",68,",0,25,",2372,0,922,",0",1.56,",,,0",7.4,",,,0",35.3,",0",42.5,",,,0",27.9,",,,0",280,",X",280,",X",35.1,",X",46,",X"
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,2010-02,10.1,",W",0,0,0,",0",10,",0",6,",0",21,",0",6,",0",0,",0",21,",0",3,",0",0,",0",0,",0",16,",0,07,",21,",,0,11,",9.1,",,0,06,",0.77,",,0,05,",50,",0,21,",3234,0,862,",0",2.73,",,,0",32.1,",,,0",34.2,",0",40.1,",,,0",28.3,",,,0",280,",X",280,",X",36,",X",52,",X"
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,2010-03,9.8,",W",0,0,0,",0",12,",0",7,",0",0,",0",0,",0",0,",0",0,",0",0,",0",6,",0",0,",0",33,",0,27,+",0,",,0,31,+",0,",T,0,02,",0.8,",,0,28,",76,",0,21,",3662,0,428,",0",3.55,",,,0",0,",T,,0",51.2,",0",59.8,",,,0",42.5,",,,0",340,",X",230,",X",36.9,",X",52,",X"
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,2010-04,8.3,",W",38,0,38,",0",7,",0",5,",0",0,",0",0,",0",0,",0",0,",0",0,",0",17,",0",2,",0",41,",0,18,",0,",,0,30,+",0,",,0,30,+",0.62,",,0,08,",90,",0,07,+",3825,0,163,",0",1.5,",,,0",0,",,,0",60.8,",0",71.7,",,,0",50,",,,0",250,",X",250,",X",44.1,",X",59,",X"
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,2010-05,8.5,",W",234,0,195,",0",9,",0",8,",0",0,",0",0,",0",0,",0",0,",0",0,",0",24,",0",3,",0",43,",0,10,",0,",,0,31,+",0,",T,0,14,",0.64,",,0,23,",93,",0,27,",3886,0,61,",0",2.4,",,,0",0,",T,,0",69.3,",0",78.3,",,,0",60.3,",,,0",270,",X",300,"1,X",32,",X",47,"1,X"
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,2010-06,8.3,",W",700,0,467,",0",10,",0",4,",0",0,",0",0,",0",0,",0",0,",0",0,",0",30,",0",18,",0",60,",0,08,",0,",,0,30,+",0,",,0,30,+",0.79,",,0,28,",100,",0,24,",3886,0,0,",0",1.88,",,,0",0,",,,0",80.6,",0",89.8,",,,0",71.3,",,,0",260,",X",260,",X",38.9,",X",55,",X"
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,2010-07,7.2,",W",1260,0,560,",0",9,",0",6,",0",0,",0",0,",0",0,",0",0,",0",0,",0",31,",0",21,",0",63,",0,03,+",0,",,0,31,+",0,",,0,31,+",1.86,",,0,13,",102,",0,07,+",0,0,0,",0",5.17,",,,0",0,",,,0",83.1,",0",92.3,",,,0",73.9,",,,0",330,",X",340,",X",42.9,",X",53,",X"
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,2010-08,6.9,",W",1730,0,469,",0",8,",0",6,",0",0,",0",0,",0",0,",0",0,",0",0,",0",31,",0",13,",0",66,",0,27,+",0,",,0,31,+",0,",,0,31,+",0.98,",,0,12,",98,",0,10,",0,0,0,",0",2.59,",,,0",0,",,,0",80.1,",0",88.4,",,,0",71.9,",,,0",270,",X",270,",X",40,",X",59,",X"
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,2010-09,8.3,",W",2044,0,314,",0",7,",0",5,",0",0,",0",0,",0",0,",0",0,",0",0,",0",29,",0",10,",0",56,",0,21,",0,",,0,30,+",0,",,0,30,+",4.66,",,0,30,",99,",0,24,",0,0,0,",0",6.02,",,,0",0,",,,0",75.5,",0",85.4,",,,0",65.6,",,,0",160,",X",170,",X",32,",X",40,",X"
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,2010-10,8.7,",W",2084,0,39,",0",8,",0",4,",0",0,",0",0,",0",0,",0",0,",0",0,",0",17,",0",0,",0",40,",0,30,",0,",,0,31,+",0,",,0,31,+",1.27,",,0,27,",88,",0,11,",148,0,148,",0",3.41,",,,0",0,",,,0",61.5,",0",70.2,",,,0",52.8,",,,0",330,",X",330,",X",29.1,",X",37,",X"
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,2010-11,7.4,",W",2084,0,0,",0",8,",0",5,",0",0,",0",0,",0",0,",0",1,",0",0,",0",0,",0",0,",0",32,",0,29,",0,",,0,30,+",0,",T,0,25,",1.31,",,0,04,",69,",0,23,",584,0,436,",0",2.22,",,,0",0,",T,,0",50.4,",0",59.2,",,,0",41.7,",,,0",230,",X",240,",X",36.9,",X",54,",X"
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",38.8472,-77.03454,3,2010-12,10.7,",W",2084,0,0,",0",5,",0",3,",0",1,",0",1,",0",0,",0",27,",0",2,",0",0,",0",0,",0",21,",0,16,+",2,",,0,16,",1.5,",,0,16,",0.78,",,0,01,",65,",0,01,",1526,0,942,",0",1.78,",,,0",2.1,",,,0",34.6,",0",40.7,",,,0",28.5,",,,0",320,",X",340,",X",36.9,",X",55,",X"
